Sample_name	Run	Condition
HFS151-resub	Stage1	Hypothalamus
HFS152-resub	Stage1	Hypothalamus
HFS153	Stage1	Hypothalamus
HFS154-resub	Stage1	Hypothalamus
HFS155	Stage1	Hypothalamus
HFS195	Stage2	Hypothalamus
HFS196	Stage2	Hypothalamus
HFS197	Stage2	Hypothalamus
HFS198	Stage2	Hypothalamus
HFS263-resub	Stage3	Hypothalamus
HFS264-resub	Stage3	Hypothalamus
HFS265	Stage3	Hypothalamus
HFS266-resub	Stage3	Hypothalamus
HFS267	Stage3	Hypothalamus
HFS308	Stage4	Hypothalamus
HFS309	Stage4	Hypothalamus
HFS310	Stage4	Hypothalamus
HFS311	Stage4	Hypothalamus
HFS312	Stage4	Hypothalamus
HFS353	Stage5	Hypothalamus
HFS354	Stage5	Hypothalamus
HFS355	Stage5	Hypothalamus
HFS356	Stage5	Hypothalamus
HFS357	Stage5	Hypothalamus
